formula,Crystal System,band_gap_calculated (eV)
Pr2P3(HO2)5,Monoclinic,5.6736
LiMg14BO16,Orthorhombic,5.6728
KH5S2O9,Monoclinic,5.6718
TmAl3(BO3)4,Trigonal,5.6716
RbH3(SO4)2,Monoclinic,5.6712
Mg2Be3Tl2F12,Cubic,5.6708
KNd(SO4)2,Monoclinic,5.6701
ErH3(SO4)3,Orthorhombic,5.6659
CaSi2(BO4)2,Orthorhombic,5.6644
YErAl2O6,Orthorhombic,5.6644
SmHSO5,Monoclinic,5.6617
Sr3Ca(ClF)4,Tetragonal,5.6609
Ba2AlZnF9,Orthorhombic,5.6588
Ca2B8H2O15,Triclinic,5.6576
Cs2Ca2(SO4)3,Cubic,5.6575
KSm(SO4)2,Monoclinic,5.6574
Ba2B11H7O22,Triclinic,5.657
BPH9C2,Monoclinic,5.6569
H7S2NO8,Monoclinic,5.6565
CaP2(HO2)4,Triclinic,5.6524
Ba2Li3(PO3)7,Monoclinic,5.6521
CsH3(SO4)2,Monoclinic,5.6517
Li2P(HO)6,Cubic,5.6516
RbP2H5O8,Monoclinic,5.6472
BaPHO4,Orthorhombic,5.6463
BH12C3N,Trigonal,5.6453
K2RbYF6,Cubic,5.6436
LiBH7N,Orthorhombic,5.643
CsMgGaF6,Orthorhombic,5.6419
MgB2H6O7,Tetragonal,5.6406
TmHSO5,Monoclinic,5.6387
CsK2ScF6,Cubic,5.6381
BaB8H4O15,Monoclinic,5.6377
NaB(S2O7)2,Monoclinic,5.6374
CaP4(HO6)2,Monoclinic,5.6369
MgP2(H8O5)2,Tetragonal,5.6358
RbBe2P3O10,Monoclinic,5.6347
MgH12(ClO6)2,Monoclinic,5.6326
Li2Al(BO2)5,Monoclinic,5.6317
NdH3S2O9,Monoclinic,5.6317
SrMgP2O7,Monoclinic,5.6299
K2Ca2(SO4)3,Orthorhombic,5.6275
ErHSO5,Monoclinic,5.6272
Be2BH3O5,Triclinic,5.6261
Ca5P3ClO12,Monoclinic,5.6253
MgP2(H8O5)2,Tetragonal,5.6239
BaBe2Si2O7,Orthorhombic,5.6238
Ba7BrClF12,Hexagonal,5.6222
PrHSO5,Monoclinic,5.622
LiB(H4N)2,Monoclinic,5.6212
Mg3H2(SO5)2,Monoclinic,5.6203
KP2H5O8,Monoclinic,5.6195
LiTb(SO4)2,Tetragonal,5.6184
NdH11S3O16,Monoclinic,5.618
CsK2AlF6,Cubic,5.6179
ErAl3(BO3)4,Trigonal,5.6166
Er2H8S3O16,Triclinic,5.6165
Rb2Mg2(SO4)3,Cubic,5.6159
LiLaMg6O8,Tetragonal,5.6156
LiZr5TlF22,Tetragonal,5.6152
DyP2(HO2)5,Triclinic,5.6144
AlH11SO10,Monoclinic,5.6133
BeH8(ClO2)2,Monoclinic,5.6128
K2Sr(PO3)4,Tetragonal,5.6094
BaNa(PO3)3,Orthorhombic,5.6086
Cs2AlTlF6,Cubic,5.6085
BaNa(B3O5)3,Trigonal,5.6048
KP(HO2)2,Tetragonal,5.6046
CsSm(PO3)4,Monoclinic,5.6019
Li2PNO2,Orthorhombic,5.6015
SiC4(NO)4,Monoclinic,5.6012
YH12(ClO2)3,Monoclinic,5.6011
KB(S2O7)2,Monoclinic,5.601
Li2BeSiO4,Orthorhombic,5.5993
HoP4HO12,Monoclinic,5.5976
AlP(H2O3)2,Orthorhombic,5.597
KP(HO2)2,Monoclinic,5.5939
K2RbGaF6,Cubic,5.5929
HoAl3(BO3)4,Trigonal,5.5914
CsNd(PO3)4,Monoclinic,5.5907
CsNd(PO3)4,Monoclinic,5.5905
CaP2(HO)4,Monoclinic,5.5901
CaB8H4O15,Monoclinic,5.5888
CaB2(H6O5)2,Monoclinic,5.5885
NaBe(BO2)3,Orthorhombic,5.5885
LiAlB2O5,Monoclinic,5.5855
Ba3Sr(ClF)4,Tetragonal,5.5851
DyHSO5,Monoclinic,5.5844
Na2PHO3,Monoclinic,5.5817
Li2H2SO5,Monoclinic,5.5815
LiB(S2O7)2,Orthorhombic,5.5781
KPr(SO4)2,Triclinic,5.5778
