formula,Crystal System,band_gap_calculated (eV)
Al2Cu,Tetragonal,0
Al2Mo3,Monoclinic,0
Al2Ni3,Tetragonal,0
Al2O,Cubic,0
Al2O,Triclinic,0
Al2O3,Cubic,2.8727
Al2O3,Hexagonal,4.7728
Al2O3,Monoclinic,3.670476923
Al2O3,Orthorhombic,4.658166667
Al2O3,Triclinic,3.282859016
Al2O3,Trigonal,4.684583333
Al2Os,Tetragonal,0.2899
Al2Pd,Cubic,0
Al2Pt,Cubic,0
Al2Ru,Orthorhombic,0.0864
Al2Ru,Tetragonal,0
Al2S3,Hexagonal,2.817
Al2S3,Monoclinic,3.0435
Al2S3,Tetragonal,2.0693
Al2S3,Triclinic,0.25625
Al2S3,Trigonal,1.21645
Al2Se3,Monoclinic,1.8004
Al2Se3,Tetragonal,1.1246
Al2Se3,Triclinic,0.586
Al2Se3,Trigonal,0.9578
Al2Sn,Cubic,0
Al2Te3,Monoclinic,1.5881
Al2Te3,Trigonal,0.683
Al2Te5,Monoclinic,1.0461
Al2W,Hexagonal,0
Al2Zn,Trigonal,0
Al38O21,Triclinic,0
Al3Ag,Cubic,0
Al3As,Cubic,0
Al3Au,Tetragonal,0
Al3Au8,Trigonal,0
Al3Cd,Cubic,0
Al3Cr,Tetragonal,0
Al3Cu,Cubic,0
Al3Cu,Tetragonal,0
Al3Cu2,Trigonal,0
Al3Fe,Hexagonal,0
Al3Ga,Cubic,0
Al3Ge,Tetragonal,0
Al3H,Cubic,0
Al3Ir,Cubic,0
Al3Ir,Hexagonal,0
Al3Mo,Monoclinic,0
Al3Ni,Orthorhombic,0
Al3Ni2,Trigonal,0
Al3Ni5,Orthorhombic,0
Al3Os2,Tetragonal,0
Al3P,Hexagonal,0
Al3Pd,Cubic,0
Al3Pd2,Trigonal,0
Al3Pd5,Orthorhombic,0
Al3Pt,Tetragonal,0
Al3Pt2,Trigonal,0
Al3Pt5,Orthorhombic,0
Al3Ru,Hexagonal,0
Al3Ru2,Tetragonal,0
Al3Ru2,Trigonal,0
Al3Sn,Cubic,0
Al3Sn,Tetragonal,0
Al3Tc,Tetragonal,0
Al3Tc2,Trigonal,0
Al3Tl,Cubic,0
Al3V,Cubic,0
Al3V,Tetragonal,0
Al3Zn,Cubic,0
Al41V4,Cubic,0
Al45Cr7,Monoclinic,0
Al45V7,Monoclinic,0
Al4C3,Triclinic,0
Al4C3,Trigonal,1.3154
Al4Cu15,Tetragonal,0
Al4Cu9,Cubic,0
Al4Mo,Monoclinic,0
Al4Ni15,Tetragonal,0
Al4Ni3,Cubic,0
Al4Si,Trigonal,0
Al4Si19,Triclinic,0
Al4Tc,Monoclinic,0
Al4W,Monoclinic,0
