formula,Crystal System,band_gap_calculated (eV)
Al2Se3,Trigonal,0.9578
Al2Sn,Cubic,0
Al2Te3,Monoclinic,1.5881
Al2Te3,Trigonal,0.683
Al2Te5,Monoclinic,1.0461
Al2W,Hexagonal,0
Al2Zn,Trigonal,0
Al38O21,Triclinic,0
Al3Ag,Cubic,0
Al3As,Cubic,0
Al3Au,Tetragonal,0
Al3Au8,Trigonal,0
Al3Cd,Cubic,0
Al3Cr,Tetragonal,0
Al3Cu,Cubic,0
Al3Cu,Tetragonal,0
Al3Cu2,Trigonal,0
Al3Fe,Hexagonal,0
Al3Ga,Cubic,0
Al3Ge,Tetragonal,0
Al3H,Cubic,0
Al3Ir,Cubic,0
Al3Ir,Hexagonal,0
Al3Mo,Monoclinic,0
Al3Ni,Orthorhombic,0
Al3Ni2,Trigonal,0
Al3Ni5,Orthorhombic,0
Al3Os2,Tetragonal,0
Al3P,Hexagonal,0
Al3Pd,Cubic,0
Al3Pd2,Trigonal,0
Al3Pd5,Orthorhombic,0
Al3Pt,Tetragonal,0
Al3Pt2,Trigonal,0
Al3Pt5,Orthorhombic,0
Al3Ru,Hexagonal,0
Al3Ru2,Tetragonal,0
Al3Ru2,Trigonal,0
Al3Sn,Cubic,0
Al3Sn,Tetragonal,0
Al3Tc,Tetragonal,0
Al3Tc2,Trigonal,0
Al3Tl,Cubic,0
Al3V,Cubic,0
Al3V,Tetragonal,0
Al3Zn,Cubic,0
Al41V4,Cubic,0
Al45Cr7,Monoclinic,0
Al45V7,Monoclinic,0
Al4C3,Triclinic,0
Al4C3,Trigonal,1.3154
Al4Cu15,Tetragonal,0
Al4Cu9,Cubic,0
Al4Mo,Monoclinic,0
Al4Ni15,Tetragonal,0
Al4Ni3,Cubic,0
Al4Si,Trigonal,0
Al4Si19,Triclinic,0
Al4Tc,Monoclinic,0
Al4W,Monoclinic,0
Al5Co2,Hexagonal,0
Al5Mo,Hexagonal,0
Al5Mo,Trigonal,0
Al5O8,Cubic,0
Al5O8,Hexagonal,0
Al5Re24,Cubic,0
Al5Rh2,Hexagonal,0
Al5S8,Cubic,0
Al5Se8,Cubic,0
Al5W,Hexagonal,0
Al6Fe,Orthorhombic,0
Al6Ge5,Trigonal,0.4901
Al6Re,Orthorhombic,0
Al6Ru,Orthorhombic,0
Al6Tc,Orthorhombic,0
Al7Te10,Trigonal,1.0799
Al8Cr5,Trigonal,0
Al8Fe5,Cubic,0
Al8Mo3,Monoclinic,0
Al8O3,Triclinic,0
Al8V5,Cubic,0
Al8V5,Monoclinic,0
Al9Co2,Monoclinic,0
Al9Fe2,Monoclinic,0
Al9Ir2,Monoclinic,0
Al9Rh2,Monoclinic,0
AlAg,Hexagonal,0
AlAg2,Orthorhombic,0
